index,session_id,baseDate,movingPath,pathSize,movingCount
279,818,20190823,"['용두암', '서문시장', '동문시장', '서문시장', '동문시장', '칠성로 쇼핑거리', '서문시장', '동문시장', '칠성로 쇼핑거리', '동문시장', '칠성로 쇼핑거리', '동산교']",19,1
280,819,20190823,"['용두암', '용두암', '성산일출해양도립공원']",5,1
281,821,20190824,"['14코스', '삼양검은모래해변', '18코스', '삼양검은모래해변', '삼양1동', '삼양검은모래해변', '18코스']",7,1
282,822,20190824,"['14코스', '협재해변', '협재해변']",4,2
283,828,20190824,"['용두암', '제주장미불빛축제', '용두암']",3,1
284,831,20190825,"['10', '1코스', '마라해양도립공원']",2,1
285,832,20190825,"['곽지과물해변', '애월해안로', '곽지과물해변']",5,1
286,838,20190825,"['18코스', '산방산', '송악산']",4,1
287,847,20190826,"['18코스', '삼양1동', '18코스']",3,1
288,848,20190826,"['19코스', '함덕비석거리(남)', '19코스', '19코스', '함덕비석거리(남)', '함덕비석거리(남)']",13,1
289,849,20190826,"['19코스', '19코스', '19코스', '19코스']",11,1
290,851,20190827,"['11코스', '서문시장', '바오젠거리']",3,1
291,854,20190827,"['14코스', '서부농업기술센터', '서부농업기술센터', '협재해변', '서부농업기술센터', '협재해변', '서부농업기술센터', '협재해변', '협재해변', '서부농업기술센터', '서부농업기술센터', '협재해변', '협재해변', '협재해변']",26,1
292,857,20190827,"['이호테우해변', '이호테우해변', '한담해변', '애월해안로', '한담해변']",16,1
293,867,20190828,"['21코스', '우도', '검멀레해수욕장', '21코스']",3,1
294,869,20190828,"['15코스', '판포해변(포구)', '판포해변(포구)']",5,1
295,873,20190829,"['5코스', '동산교', '5코스']",6,1
296,874,20190829,"['1코스', '걸매생태공원', '중앙로터리', '천지동자원순환센터', '건강과성박물관', '서귀포매일올레시장', '1코스']",17,1
297,875,20190829,"['1코스', '서귀포매일올레시장', '세계조가비박물관', '서귀포예술의전당']",7,1
298,876,20190829,"['19코스', '중문관광단지', '테디베어뮤지엄', '믿거나말거나박물관', '테디베어뮤지엄', '중문관광단지']",7,1
299,883,20190831,"['19코스', '19코스', '함덕비석거리(남)', '함덕비석거리(남)']",8,1
300,892,20190902,"['서문가구거리', '남서광마을', '서문가구거리']",3,1
301,895,20190902,"['거로마을', '제주종합경기장', '제주도의회', '국수문화거리']",5,1
302,899,20190902,"['용두암', '만장굴', '한담해변', '제주국제공항', '곽지과물해변', '제주국제공항', '한담해변', '제주국제공항', '한담해변', '협재해변']",13,1
303,912,20190904,"['14코스', '용담해안 카페촌거리', '동산교', '문예회관', '용담해안 카페촌거리', '동산교', '용담해안 카페촌거리', '문예회관', '동산교', '문예회관']",15,1
304,916,20190904,"['18코스', '삼양1동', '18코스']",3,2
305,917,20190904,"['19코스', '이도공원', '19코스', '교육박물관', '이도공원', '교육박물관']",7,1
306,919,20190904,"['19코스', '19코스', '19코스']",13,1
307,930,20190906,"['용두암', '만장굴', '제주국제공항']",13,1
308,932,20190906,"['용두암', '원노형', '롯데마트']",7,1
309,937,20190906,"['19코스', '인다마을', '19코스']",3,1
310,938,20190906,"['19코스', '케이티앤지', '원노형', '19코스']",5,1
311,939,20190906,"['2코스', 'KT성산포지점', '2코스']",6,1
312,940,20190907,"['노형제2근린공원', '문예회관(전기차)', '문예회관']",3,1
313,942,20190907,"['2코스', '블루마운틴커피테마파크', '성읍랜드']",6,1
314,943,20190907,"['18코스', '삼양1동', '18코스', '삼양검은모래해변', '18코스', '삼양1동', '삼양검은모래해변', '18코스']",8,1
315,945,20190907,"['18코스', '삼양검은모래해변', '18코스', '18코스']",5,1
316,947,20190907,"['19코스', '19코스', '19코스']",8,1
317,948,20190907,"['19코스', '일도이동공영주차장', '19코스', '19코스']",7,1
318,950,20190908,"['노형근린공원', '롯데마트', '영화의거리', '산지천']",3,1
319,951,20190908,"['노형제1근린공원', '삼무공원', '제주민속오일장']",4,1
320,955,20190908,"['용두암', '제주민속오일장', '용두암', '제주민속오일장', '일도이동공영주차장', '일도이동공영주차장', '일도이동공영주차장']",18,1
321,956,20190908,"['용두암', '칠성로 쇼핑거리', '칠성로 쇼핑거리', '탑동입구']",5,1
322,957,20190908,"['19코스', '인다마을', '항일기념관', '인다마을', '함덕비석거리(남)', '인다마을', '19코스', '함덕비석거리(남)', '함덕비석거리(남)', '인다마을', '인다마을']",18,1
323,958,20190908,"['19코스', '인다마을', '항일기념관', '19코스', '인다마을']",5,1
324,963,20190909,"['18코스', '함덕비석거리(남)', '함덕비석거리(남)', '함덕비석거리(남)']",20,1
325,964,20190909,"['19코스', '삼무공원', '19코스']",3,1
326,966,20190909,"['19코스', '19코스', '19코스']",6,1
327,971,20190910,"['용두암', '동산교', '동산교']",6,1
328,975,20190910,"['18코스', '삼양1동', '도남공원']",3,1
329,976,20190910,"['18코스', '삼양1동', '삼양검은모래해변', '18코스']",4,1
330,977,20190910,"['18코스', '삼양검은모래해변', '18코스', '삼양검은모래해변']",4,1
331,979,20190910,"['19코스', '영화의거리', '산지천']",5,1
332,983,20190911,"['13코스', '롯데마트', '제주국제공항']",4,1
333,985,20190911,"['엉또폭포', '정방폭포', '청소년문화의집(북)', '서귀포매일올레시장', '천지동자원순환센터', '천지동자원순환센터', '비석거리']",12,1
334,987,20190911,"['용두암', '롯데마트', '방일리공원', '방일리공원']",13,1
335,988,20190911,"['용두암', '삼무공원', '제주국제공항', '인다마을', '용두암']",6,1
336,989,20190911,"['용두암', '삼무공원', '용두암', '삼무공원']",8,1
337,993,20190912,"['13코스', '13코스', '안덕계곡', '13코스', '건강과성박물관', '13코스', '서귀포시외버스터미날']",9,1
338,994,20190912,"['14코스', '제주돌마을공원', '생각하는정원', '14코스', '제주돌마을공원', '14코스', '11코스']",7,1
339,997,20190912,"['용두암', '운진항', '10', '1코스', '운진항', '동문시장', '그레이스호텔', '동문시장', '동문시장']",11,1
340,1000,20190913,"['걸매생태공원', '돈내코', '서귀포시민회관']",3,1
341,1008,20190913,"['애월해안로', '제주국제공항', '애월해안로', '애월해안로', '제주국제공항', '한담해변', '제주국제공항', '한담해변', '애월해안로']",17,1
342,1013,20190914,"['21코스', '종달리해변', '21코스', '종달리해변']",6,1
343,1014,20190914,"['곽지과물해변', '애월해안로', '곽지과물해변', '애월해안로', '곽지과물해변', '곽지과물해변', '애월해안로', '애월해안로']",18,1
344,1017,20190914,"['13코스', '수월봉', '동문시장']",3,1
345,1018,20190914,"['14코스', '11코스', '14코스']",4,1
346,1021,20190915,"['중문관광단지', '테디베어뮤지엄', '중문관광단지', '테디베어뮤지엄', '중문관광단지', '테디베어뮤지엄', '중문관광단지']",12,1
347,1028,20190915,"['15코스', '곽지과물해변', '제주국제공항']",4,1
348,1029,20190915,"['항몽유적지', '제주민속오일장', '동산교', '제주민속오일장', '동산교']",15,1
349,1039,20190916,"['애월해안로', '용담해안 카페촌거리', '애월해안로', '애월해안로', '용담해안 카페촌거리', '용담해안 카페촌거리', '용담해안 카페촌거리', '용담해안 카페촌거리', '용담레포츠공원', '삼무공원']",22,1
350,1041,20190917,"['13코스', '판포해변(포구)', '13코스', '15코스', '13코스', '13코스']",8,1
351,1042,20190917,"['14코스', '생각하는정원', '14코스']",3,1
352,1046,20190917,"['제주국제공항', '한담해변', '칠성로 쇼핑거리']",4,1
353,1047,20190917,"['용두암', '동산교', '용두암']",5,1
354,1048,20190917,"['용두암', '용두암', '제주민속오일장']",4,1
355,1050,20190918,"['제주레일바이크', '섭지코지', '광치기해변']",5,1
356,1054,20190918,"['13코스', '협재해변', '13코스', '협재해변', '13코스']",9,1
357,1056,20190918,"['14코스', '생각하는정원', '14코스']",4,1
358,1058,20190918,"['15코스', '협재해변', '협재해변']",5,1
359,1059,20190918,"['애월해안로', '영화문화예술센터', '애월해안로']",9,1
360,1061,20190919,"['김창열미술관', '판포해변(포구)', '김창열미술관']",5,1
361,1063,20190919,"['10', '1코스', '운진항', '소인국테마파크']",3,1
362,1065,20190919,"['14코스', '환상숲', '14코스']",3,1
363,1072,20190920,"['14코스', '중문관광단지', '중문·색달해변', '중문관광단지']",9,1
364,1087,20190921,"['14코스', '제주돌마을공원', '제주민속오일장', '제주민속오일장', '동산교', '14코스']",8,1
365,1091,20190922,"['14코스', '중문랜드', '새연교']",9,1
366,1092,20190922,"['18코스', '삼양1동', '18코스']",3,1
367,1097,20190922,"['인다마을', '삼무공원', '한라수목원', '인다마을', '삼무공원', '한라수목원', '인다마을', '삼무공원', '한라수목원', '인다마을']",25,1
368,1104,20190923,"['탑동입구', '탑동입구', '삼무공원', '제주국제공항', '삼무공원', '제주국제공항']",16,1
