totCnt,hasMore,data
211430,True,"{'baseDate': '20240515', 'macAddress': '056034906c5580d89b37aaf41f2c52030652e5920ffe97eb0d5af968c367b9d9', 'apGroupName': '광치기해변', 'installLocationDetail': '유채밭 앞 가로등-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 오조리', 'addressDetail': '서귀포시 성산읍 고성동서로 115', 'latitude': '33.454345', 'longitude': '126.925728'}"
211430,True,"{'baseDate': '20240515', 'macAddress': 'abce7731578f7b717c6a466386330ec50b0f869a89d4c18fec6b9cc5ea9bb912', 'apGroupName': '공천포 포구', 'installLocationDetail': '클린하우스 - 정자', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 남원읍 신례리', 'addressDetail': '서귀포시 남원읍 신례리 72-19', 'latitude': '33.262237', 'longitude': '126.64145'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '7ae7e295500c70014e008f84059a62a661d6668a71e6b005ad3f82fdd7ba9875', 'apGroupName': '서빈백사해수욕장', 'installLocationDetail': '화장실 및 탈의실 옆 동측 KT 강관주-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 제주시 우도면 연평리', 'addressDetail': '제주시 우도면 연평리 2512-3', 'latitude': '33.502028', 'longitude': '126.943914'}"
211430,True,"{'baseDate': '20240515', 'macAddress': 'a5d5ead969f3b320af2e4b923e371ff346562e5a451c7b88e91a6a46446c08cd', 'apGroupName': '광치기해변', 'installLocationDetail': '재난 감시카메라 폴대-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 고성리', 'addressDetail': '서귀포시 성산읍 고성리 127-7 앞(섭지코지로 93-15)', 'latitude': '33.434339', 'longitude': '126.926262'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '581bccde320a7f246d3380eb21d3c3afbb4cf0acb15b5820b55098ad4f22ac44', 'apGroupName': '우도한반도여 입구해변', 'installLocationDetail': 'IP 주', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 제주시 우도면 연평리', 'addressDetail': '제주시 우도면 연평리 1735-4', 'latitude': '33.492187', 'longitude': '126.953277'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '6ded650dd2aef8acbb00580be11169c2addb29aff485e92ba9322d8d6fb14fbf', 'apGroupName': '신양연안바다목장', 'installLocationDetail': 'CCTV 폴 상부 - 정자방향', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 고성리', 'addressDetail': '서귀포시 성산읍 고성리 186-5', 'latitude': '33.437269', 'longitude': '126.92274'}"
211430,True,"{'baseDate': '20240515', 'macAddress': 'f7b11509f4d675c3c44f0dd37ca830bb02e8cfa58f04c46283c4bfcbdce1ff45', 'apGroupName': '종달리해변', 'installLocationDetail': '통신주 인근 가로등에 남동쪽으로 지향 1개', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 제주시 구좌읍', 'addressDetail': '제주시 구좌읍 종달리 622-5', 'latitude': '33.488872', 'longitude': '126.904818'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '75540a9cacd3802f6d1e5b8d74a6b4215a4abaaa75c39b450b0df3b745dda516', 'apGroupName': '광치기해변', 'installLocationDetail': '재난 감시카메라 폴대-서', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 고성리', 'addressDetail': '서귀포시 성산읍 고성리 127-7 앞(섭지코지로 93-15)', 'latitude': '33.434727', 'longitude': '126.92521'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '11de56c3bf359994ab74cc6d3e20ebdadb1132f4b1d2cec74eb5d02bef370a43', 'apGroupName': '검멀레해수욕장', 'installLocationDetail': '동측 KT 강관주 - 동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 제주시 우도면 연평리', 'addressDetail': '제주시 우도면 연평리 318-1', 'latitude': '33.497493', 'longitude': '126.96801'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '3332ea9e901da30a4d1ebc090329cb69f5730740292fa4acd27e2dbad7be7079', 'apGroupName': '광치기해변', 'installLocationDetail': '외벽', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 고성리', 'addressDetail': '서귀포시 성산읍 고성리 224-1', 'latitude': '33.44946', 'longitude': '126.922315'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '17fa5a772091d5c07a2fc891510f0da7232f1e3c2a6c76eeb3355fec1444cbed', 'apGroupName': '6코스', 'installLocationDetail': '가로등 - 남쪽 자리돔 축제장', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 보목동', 'addressDetail': '서귀포시 보목동 566-3', 'latitude': '33.238865', 'longitude': '126.607555'}"
292377,True,"{'baseDate': '20240515', 'macAddress': 'fb335980599d2b1ab5f8b8583103b1dc6e82caa43716074183e2b16753c7d560', 'apGroupName': '9코스', 'installLocationDetail': '중계기 폴대', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 안덕면 감산리', 'addressDetail': '서귀포시 안덕면 감산리 1008', 'latitude': '33.236877', 'longitude': '126.36041'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '4e4e6659f06e57503dd2c47c31deddb5aee3f4a3ddcb33a4061ca0bc9def608b', 'apGroupName': '19코스', 'installLocationDetail': 'IP주 신흥해변방향', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 제주시 조천읍 신흥리', 'addressDetail': '제주시 조천읍 신흥리 662', 'latitude': '33.549568', 'longitude': '126.647441'}"
292377,True,"{'baseDate': '20240515', 'macAddress': 'a223b2bfced0b77eb1d863dc6222ac6d53c95d162f17bc2b1bc621e53efaf7ac', 'apGroupName': '4코스', 'installLocationDetail': 'IP주 - 남쪽 세화 포구방향', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 표선면 세화리', 'addressDetail': '서귀포시 표선면 세화리 190-3', 'latitude': '33.303644', 'longitude': '126.806336'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '54cc787f6de3f55fd8d60e6f5515a2e43d7e2c7110c637d56806276db353d560', 'apGroupName': '5코스', 'installLocationDetail': '클린하우스 - 북쪽 하례교 방향 정자', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 남원읍 신례리', 'addressDetail': '서귀포시 남원읍 신례리 74', 'latitude': '33.263891', 'longitude': '126.638717'}"
