totCnt,hasMore,data
28626,True,"{'baseDate': '20190604', 'movingPath': '16코스(고내포구-항파두리-광령1리)|협재 해변|협재해변|협재 해변', 'pathSize': 4, 'movingCount': 1}"
28626,True,"{'baseDate': '20190604', 'movingPath': '17코스(광령1리-외도-이호-용두암-산지천)|제주민속오일장', 'pathSize': 2, 'movingCount': 1}"
28626,True,"{'baseDate': '20190604', 'movingPath': '17코스(광령1리-외도-이호-용두암-산지천)|한국방송통신대학|17코스(광령1리-외도-이호-용두암-산지천)|제주민속오일장|용문마을(서)|용문 사거리|탑동 테마거리->중앙로|용연, 용두암|용문마을(서)|탑동 테마거리->중앙로|용문 사거리|문화예술의 거리|탑동 테마거리->중앙로|서사라 문화거리|탑동 테마거리->중앙로|용연, 용두암|문화예술의 거리|시민회관|서사라 문화거리', 'pathSize': 19, 'movingCount': 1}"
28626,True,"{'baseDate': '20190604', 'movingPath': '17코스(광령1리-외도-이호-용두암-산지천)|한림종합운동장|17코스(광령1리-외도-이호-용두암-산지천)', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '11코스|하모2리|모슬포중앙시장', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '11코스|하모3리|하모2리|하모3리|11코스', 'pathSize': 5, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '11코스|함덕농협지소(북)', 'pathSize': 2, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '13코스|해양경비안전센터 (고산출장소)|13코스', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '14코스|부영아파트(LH으뜸마을)', 'pathSize': 2, 'movingCount': 2}"
30028,True,"{'baseDate': '20190605', 'movingPath': '14코스|생각하는정원|한라산국립공원', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '17코스(광령1리-외도-이호-용두암-산지천)|남녕고등학교(하와이오피스텔)|17코스(광령1리-외도-이호-용두암-산지천)', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '17코스(광령1리-외도-이호-용두암-산지천)|외도구획정리지구|우령이 마을', 'pathSize': 3, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '19코스|조천체육관|삼양초등학교(남)|조천체육관', 'pathSize': 4, 'movingCount': 1}"
30028,True,"{'baseDate': '20190605', 'movingPath': '1코스 시작점|종달리해변', 'pathSize': 2, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '19코스|조천읍4|조천읍3|함덕 서우봉 해변|19코스|조천읍3|조천119센터|함덕비석거리(남)|함덕 서우봉 해변|19코스|조천119센터|함덕비석거리(남)|조천읍4|조천읍3|함덕 서우봉 해변|함덕비석거리(남)|조천읍3|조천읍4|조천읍3|함덕 서우봉 해변|정부제주지방합동청사|아라초등학교|연동주민센터|정부제주지방합동청사|아라초등학교|성판악휴게소|연동주민센터|성판악휴게소|시민회관|함덕농협지소(북)|제주중앙여자고등학교(교통섬)|시민회관|함덕농협지소(북)|시민회관|제주중앙여자고등학교(교통섬)|시민회관|제대아파트|함덕농협지소(북)|제주중앙여자고등학교(교통섬)|산천단 한국폴리텍대학(버스)|제대아파트|성판악휴게소|산천단 한국폴리텍대학(버스)|제대아파트|관음사 휴게소|성판악휴게소|산천단 한국폴리텍대학(버스)|시민회관|제주중앙여자고등학교(교통섬)|산천단 한국폴리텍대학(버스)|중앙로 사거리|산천단 한국폴리텍대학(버스)|시민회관|제주중앙여자고등학교(교통섬)|중앙로 사거리|시민회관|인다마을|제주중앙여자고등학교(교통섬)|인다마을|함덕농협지소(북)|신촌초등학교|인다마을|함덕농협지소(북)|인다마을|신촌초등학교|함덕농협지소(북)|신촌초등학교', 'pathSize': 67, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '19코스|큰동네(버스)|19코스|조천읍1', 'pathSize': 4, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '20코스|세화 해변|세화오일장 인근 주차장|20코스|세화 해변|20코스|세화오일장 인근 주차장', 'pathSize': 7, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '20코스|세화오일장 인근 주차장|20코스|세화 해변|20코스|세화오일장 인근 주차장|세화 해변|세화오일장 인근 주차장', 'pathSize': 8, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '2코스|성산하수처리장|광치기해변', 'pathSize': 3, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '2코스|신성여자중고등학교|환경성질환예방관리센터|성산하수처리장|2코스|환경성질환예방관리센터|KT성산포지점|성산읍사무소|성산읍1|성산읍2|성산하수처리장', 'pathSize': 11, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '5코스|남원읍3|남원읍2|남원읍 공영주차장|천지동 아랑조을거리|하효 쇠소깍 해변|남원읍2|남원읍4|남원읍2|남원읍 공영주차장', 'pathSize': 10, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '5코스|남원읍사무소|남원읍4', 'pathSize': 3, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '7-1코스|걸매생태공원|아쿠아플라넷|광치기해변|아쿠아플라넷|성산읍사무소|문화예술의 거리', 'pathSize': 7, 'movingCount': 1}"
23837,True,"{'baseDate': '20190606', 'movingPath': '7-1코스|비석거리|산남새마을금고|칠십리 음식 특화거리|칠십리공원_A|서귀북초등학교(동)|서귀포전천후게이트볼장|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|중문고등학교(북)|중문동(남)|중문초등학교(북)|서귀포서부도서관|중문고등학교(북)|새연교|칠십리 음식 특화거리|동미빌딩|제주은행(북)|서귀포매일올레시장', 'pathSize': 19, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '19코스|조천체육관', 'pathSize': 2, 'movingCount': 3}"
27029,True,"{'baseDate': '20190607', 'movingPath': '19코스|조천체육관|19코스|조천읍1|조천체육관', 'pathSize': 5, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '1코스 시작점|광치기해변', 'pathSize': 2, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '20코스|애월체육관|에코랜드테마파크', 'pathSize': 3, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '5코스|남원읍 공영주차장|남원읍2|남원읍1|5코스', 'pathSize': 5, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '5코스|남원읍1|남원읍4|남원읍2|남원읍 공영주차장|남원읍1', 'pathSize': 6, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '7-1코스|아랑조을거리 공영주차장|제주은행(북)|동미빌딩|동문로터리', 'pathSize': 5, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '7-1코스|서귀포여자고등학교(북)|중문초등학교(북)', 'pathSize': 3, 'movingCount': 1}"
27029,True,"{'baseDate': '20190607', 'movingPath': '7-1코스|아랑조을거리 공영주차장', 'pathSize': 2, 'movingCount': 2}"
27029,True,"{'baseDate': '20190607', 'movingPath': '7-1코스|아랑조을거리 공영주차장|서귀포시청 1청사|중앙로터리|아랑조을거리 공영주차장|7-1코스|세계조가비박물관|제주월드컵경기장 서귀포버스터미널|서귀포시외버스터미날|세계조가비박물관|7-1코스|아랑조을거리 공영주차장|이중섭거리', 'pathSize': 13, 'movingCount': 1}"
28168,True,"{'baseDate': '20190608', 'movingPath': '19코스|조천체육관|조천읍사무소|한림공원 인근 공영주차장|금능으뜸원 해변|협재 해변|한림공원 인근 공영주차장|협재 해변|금능으뜸원 해변|한림공원 인근 공영주차장|금능으뜸원 해변|곽지과물해변|16코스(고내포구-항파두리-광령1리)|아라초등학교|16코스(고내포구-항파두리-광령1리)|조천체육관', 'pathSize': 16, 'movingCount': 1}"
28168,True,"{'baseDate': '20190608', 'movingPath': '1코스 시작점|성산읍 공영주차장', 'pathSize': 2, 'movingCount': 2}"
28168,True,"{'baseDate': '20190608', 'movingPath': '1코스 시작점|성산포항 종합여객터미널(출발)|성산일출해양도립공원|광치기해변', 'pathSize': 4, 'movingCount': 1}"
28168,True,"{'baseDate': '20190608', 'movingPath': '1코스 시작점|종달리해변|1코스 시작점|21코스|1코스 시작점|해녀박물관', 'pathSize': 6, 'movingCount': 1}"
28168,True,"{'baseDate': '20190608', 'movingPath': '20코스|성산읍1|성산읍4', 'pathSize': 3, 'movingCount': 1}"
28168,True,"{'baseDate': '20190608', 'movingPath': '20코스|세화 해변|20코스|애월체육관|해녀박물관|제주해녀박물관|애월체육관|해녀박물관|애월체육관|제주해녀박물관|해녀박물관|20코스|세화 해변|20코스|제주해녀박물관|20코스|해녀박물관|제주해녀박물관|해녀박물관|20코스|제주해녀박물관|애월체육관|20코스', 'pathSize': 23, 'movingCount': 1}"
